Scenario,Nodes,Operations,Weights,DSU Time,Recalculation Time
Scenario 5,300,900,"(1, 1, 1, 5)",0.0014,0.2114
Scenario 1,300,1000,"(1, 1, 1, 1)",0.0021,0.2562
Scenario 2,300,1000,"(5, 1, 1, 1)",0.0026,0.2851
Scenario 3,300,1000,"(1, 5, 1, 1)",0.0011,0.2432
Scenario 4,300,1000,"(1, 1, 5, 1)",0.0011,0.2360
Scenario 5,300,1000,"(1, 1, 1, 5)",0.0022,0.2662
Scenario 1,300,2000,"(1, 1, 1, 1)",0.0057,0.6889
Scenario 2,300,2000,"(5, 1, 1, 1)",0.0073,0.9658
Scenario 3,300,2000,"(1, 5, 1, 1)",0.0030,0.5213
Scenario 4,300,2000,"(1, 1, 5, 1)",0.0040,0.6360
Scenario 5,300,2000,"(1, 1, 1, 5)",0.0054,0.5695
Scenario 1,300,3000,"(1, 1, 1, 1)",0.0067,0.9861
Scenario 2,300,3000,"(5, 1, 1, 1)",0.0086,1.6046
Scenario 3,300,3000,"(1, 5, 1, 1)",0.0034,0.7171
Scenario 4,300,3000,"(1, 1, 5, 1)",0.0042,0.8578
Scenario 5,300,3000,"(1, 1, 1, 5)",0.0042,0.6847
Scenario 1,300,4000,"(1, 1, 1, 1)",0.0059,1.2920
Scenario 2,300,4000,"(5, 1, 1, 1)",0.0153,2.9430
